Dataset 1,CE,Dataset 2,ET,Dataset 3,Voyager,Dataset 4,aLIGO
X,Y,X,Y,X,Y,X,Y
0.995406924,2.174819973,0.988400992,1.05813207,0.996160499,0.183570834,2.206594908,0.07865123
1.259147731,2.967513054,1.176169687,1.271435925,1.161647858,0.205533887,2.626117768,0.091873484
1.513164225,3.936334753,1.385295765,1.527738699,1.327061666,0.230124676,3.190320803,0.107318562
1.763537708,5.004797419,1.631605012,1.83570834,1.563312474,0.265040891,3.915537711,0.127143593
2.055209257,6.453806661,1.902055868,2.205760129,1.785921647,0.296751305,4.756463633,0.150630914
2.322825858,7.977016508,2.217196167,2.688115052,2.06117994,0.336982511,5.661130354,0.173485748
2.679145347,10.43289672,2.50637984,3.18469235,2.689810814,0.428451671,6.737862277,0.199808287
3.058714915,13.45347128,2.981581995,4.106737392,2.354683363,0.377300271,8.102245346,0.230124676
3.527919152,17.59538496,3.510608015,5.295736654,3.201405671,0.493459522,9.842956092,0.268811505
4.027739273,22.68967216,4.049643004,6.733189832,3.849188625,0.584616631,11.47739529,0.305254853
4.551345342,29.25887804,4.623961846,8.440736991,4.675864993,0.692613253,13.80150984,0.351570373
5.142695866,38.26679465,5.172619836,10.43289672,5.738410733,0.832233893,16.42652027,0.404913226
5.8690693,53.71076644,5.786379053,12.89524055,6.690861395,0.958506566,19.35085964,0.466349651
6.429027261,73.28762954,6.472555912,16.16549312,7.88150824,1.119643478,23.26931095,0.537107664
7.190052033,95.85065655,7.315371996,19.98082872,9.003234332,1.271435925,28.85392271,0.636327924
8.383972106,108.8453339,8.525799217,25.40434345,10.93613682,1.527738699,35.0507757,0.753877208
10.19163508,110.393826,10.14354466,31.8469235,13.14733238,1.861824111,42.14572273,0.880613372
12.39295425,104.3289672,11.58209834,39.92335163,15.48593938,2.205760129,51.71967467,1.073185625
15.38567536,94.50616121,13.08694568,52.21453456,18.2382301,2.688115052,62.82336079,1.289524055
19.29967324,84.40736991,14.34278326,63.63279237,21.26001373,3.275951197,74.00285352,1.506309137
22.99650935,75.3877208,15.5564146,79.77016508,24.53056174,3.936334753,87.1827459,1.71052267
26.84218856,68.28979802,16.87593125,95.85065655,27.72827641,4.729841917,103.7777605,1.915175551
32.6522591,59.29337005,19.48310605,101.4226536,31.66867768,5.603588788,123.5627595,2.026508671
40.55009659,50.04797419,23.20629604,98.59730189,37.30650964,6.453806661,150.1945765,2.084579223
51.93866679,41.65162041,27.93362513,90.584776,45.79849714,7.225962535,182.6009646,2.05533887
67.22158746,33.69825109,32.93974263,83.22338933,56.24122564,7.53877208,215.285016,1.970055801
85.23111295,27.26357619,38.84547987,75.3877208,69.79626209,7.433025867,256.4418053,1.88831142
103.6927153,23.01246761,46.76454785,67.33189832,83.99848872,7.124604095,299.2696421,1.784570635
130.1205734,18.8831142,55.15240017,60.13690934,102.147994,6.638743506,352.88092,1.662872288
153.488489,16.16549312,63.06152384,55.24987354,120.4468246,6.186016057,411.8668064,1.527738699
182.9236837,13.83898678,72.1048545,50.75998352,151.0875736,5.524987354,480.742808,1.383898678
222.5461197,11.68112476,85.91647849,45.33584531,181.8883971,4.93459522,555.3982584,1.253601518
265.2248144,10,103.4379977,39.92335163,218.9682989,4.407291533,628.5902782,1.135572127
306.4893761,8.560819443,135.2407533,33.22556636,263.6073368,3.936334753,711.472625,1.014226536
372.9004444,7.124604095,164.5036369,29.25887804,298.3462887,3.565720019,797.0982061,0.893141451
449.0617776,5.929337005,200.1109322,25.40434345,351.8809093,3.140020731,893.0288079,0.786512305
552.0807816,4.797131185,248.4975355,21.74819973,406.5764316,2.765144245,980.1454645,0.692613253
651.2681801,4.049132265,302.2855568,18.8831142,464.9694384,2.435022999,1032.229562,0.636327924
744.8510882,3.515703732,371.5155481,16.3954721,537.2431697,2.144313815,,
860.737506,3.009730486,451.9596808,14.03586763,608.1193542,1.88831142,,
974.3523536,2.613231678,549.7876809,12.18679682,702.6882769,1.63954721,,
1047.442926,2.400866977,668.8330167,10.43289672,795.4410859,1.423554941,,
0.945836719,2.026508671,797.0479396,9.0584776,900.4937827,1.218679682,,
,,959.8373237,7.53877208,978.169485,1.088453339,,
,,1042.434703,7.024667409,1030.083618,1.014226536,,
,,0.948823828,1,0.956212327,0.17595385,,
