# Chandra SNR Catalog
# https://hea-www.harvard.edu/ChandraSNR/snrcat_gal.html
Name	Common Name	Position	X-ray Size (arcmin)	Distance
G260.3-03.4	RX J0822-4300	08 21 57.4 -43 00 16.8	point source	2.2
G263.5-02.7	Vela SNR PWN	08 35 20.6 -45 10 34.8	1.6x1.6	0.25
G266.2-01.2	Vela Jr.	08 52 00.0 -46 12 00.0	120'x120'	1
G266.9-01.0	PSR J0855-4644	08 55 36.0 -46 44 13.2	0.2'x0.3'	0.9
G272.2-03.2	G272.2-3.2	09 06 48.8 -52 06 10.4	14'x14'	5
G284.0-01.8	PSR J1016-5857	10 16 21.3 -58 57 11.3	0.05'x0.05'	3
G287.4+00.5	PSR B1046-58	10 48 12.6 -58 32 03.5	point source	3
G290.0-00.9	IGR J11014-6103	11 01 46.7 -61 01 24.6	0.5'x1.5'	7
G290.1-00.8	MSH 11-61A	11 02 49.5 -60 52 37.6	12'x16'	7
G291.0-00.1	MSH 11-62	11 11 48.6 -60 39 25.8	15'x13'?	6
G292.0+01.8	MSH 11-54	11 24 33.9 -59 15 40.4	9.2'x8.8'	4.8
G292.2-00.5	G292.2-0.5	11 19 14.3 -61 27 49.3	20'x15'	8
G293.8+00.6	G293.8+0.6	11 35 00.0 -60 53 60.0	3'x3'	3
G296.5+09.9	1E 1207.4-5209	12 10 00.9 -52 26 28.0	point source	2
G299.2-02.9	G299.2-2.9	12 14 54.7 -65 28 33.2	13x10	7
G304.1-00.9	PSR B1259-63	13 02 47.7 -63 50 08.7	0.1'x0.1'	2.3
G306.3-00.9	G306.3-0.9	13 21 50.5 -63 33 43.8	3.8'x3.8'	5
G308.4-01.3	G308.3-1.4	13 41 24.2 -63 43 52.4	5'x7'	4
G309.9-02.5	PSR J1357-6429	13 57 02.5 -64 29 30.0	0.2'x0.5'	2.5
G310.6-01.6	G310.6-1.6	14 00 45.7 -63 25 43.1	2.5'x2.5'	7
G313.3+00.1	The Rabbit	14 18 33.5 -60 58 41.5	2'x5'	5
G315.4-02.3SW	RCW 86 SW shell	14 43 00.0 -62 30 00.0	42'x42'	3
G315.4-02.3NE	RCW 86 NE shell	14 43 00.0 -62 30 00.0	42'x42'	3
G319.9-00.6	PSR J1509-5850	15 09 27.2 -58 50 56.1	point source	4
