# Chandra SNR Catalog				
# https://hea-www.harvard.edu/ChandraSNR/snrcat_lmc.html				
Name	Common Name	Position	X-ray Size (arcmin)	Distance
SNR J0046.6-7307	in N19	00 46 41.2 -73 07 54.8	3.0'x3.0'	60
SNR J0047.2-7308	in N19 IKT 2	00 47 19.8 -73 08 22.9	1.3'x1.3'	60
SNR J0047.5-7307	in N19	00 47 32.3 -73 07 45	4'x5'	60
SNR J0048.5-7319	IKT 4	00 48 32.0 -73 19 30.0	2'x1'	60
SNR J0049.1-7314	IKT 5	00 49 08.9 -73 14 28.6	1.3'x2.0'	60
SNR J0051.1-7321	IKT 6	00 51 06.7 -73 21 29.0	2.5'x2.5'	60
SNR J0052.9-7237	HFPK 285	00 53 00.6 -72 36 51.5	5'x5'	60
SNR J0058.3-7217	IKT 16	00 58 23.0 -72 17 53.9	4.2'x4.2'	60
SNR J0059.4-7210	IKT 18	00 59 25.4 -72 10 11.0	2.1'x1.7'	60
SNR J0103.4-7247	HFPK 334	01 03 28.9 -72 47 28.5	1'x1'	60
SNR J0104.1-7201	E0102.2-7219 IKT 22	01 04 02.0 -72 01 52.7	0.72'x0.75'	60
SNR J0105.1-7223	IKT 23 DEM S125	01 05 03.5 -72 23 19.2	2.6'x3.2'	60
SNR J0106.2-7205	IKT 25	01 06 17.4 -72 05 34.3	2.0'x2.0'	60
SNR J0127.7-7332	SPX 1062	01 27 46.0 -73 32 56.4	point source	60
